SEMÁFORO COMPARTILHADO,SEMÁFORO,IP DDNS,Nº CHIP,ELSYS,LOCALIZAÇÃO 1,LOCALIZAÇÃO 2,ENDEREÇO,BAIRRO,TIPO DE CONTROLADOR,EMPRESA,ROTA,OBSERVAÇOES,SUB-ÁREA (TRAFGO),LATITUDE ,LONGITUDE,GEOREFERÊNCIA,NOBREAK,Nº do No Break,CÂMERAS,BOTOEIRA COM DISPOSITIVO SONORO,HORÁRIO DE FUNCIONAMENTO Do dispositivo sonoro,BOTOEIRA SIMPLES,Coluna Cônica,Coluna Simples,Semipórtico Cônico,Semipórtico Simples,Semipórtico Estruturado,Pórtico Estruturado,Veicular TIPO I,VeiculaR Tipo T,PEDESTRE SIMPLES,Pedestre com cronômetro,Ciclista ,Anteparo TIpo I,Veicular com sequencial,Veicular com cronômetro,Luminárias,Conta-Contrato,NÚMERO DO Medidor ,Data de implantação
001,001,s05697.dyndns.org,,,AV. BOA VIAGEM,EM FRENTE AO PQ DONA LINDU,AV. BOA VIAGEM X EM FRENTE AO PQ DONA LINDU,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.142323,-34.903798,"-8.142323,-34.903798",NÃO,0,,,,2,0,2,1,0,0,0,3,0,2,0,0,0,0,0,0,7.002.599.419,3.202.476.316,03/12/2008
002,002,s05384.dyndns.org,,,AV. CONS. AGUIAR,RUA THOMÉ GIBSON,AV. CONS. AGUIAR X RUA THOMÉ GIBSON,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.099068,-34.885883,"-8.099068,-34.885883",SIM,1191.A0.010000004788,,,,,,1,,3,,,5,,,,,3,,1,,4.011.843.927,,20/11/1979
003,003,s05554.dyndns.org,,,AV. BOA VIAGEM,RUA FRANÇA PEREIRA,AV. BOA VIAGEM X RUA FRANÇA PEREIRA,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.106806,-34.887726,"-8.106806,-34.887726",NÃO,,,,,2,,2,,,1,,2,,2,,2,,1,,,7.024.324.413,3.011.185.325,27/08/1981
004,004,s04989.dyndns.org,,,AV. BOA VIAGEM,PRACINHA DE BOA VIAGEM,AV. BOA VIAGEM X PRACINHA DE BOA VIAGEM,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.132230,-34.899990,"-8.132230,-34.899990",NÃO,,,,,2,,1,1,,,,2,,2,,,,1,,,4.011.843.927,,22/09/1998
005,005,s05339.dyndns.org,,,AV. CONS. AGUIAR,RUA ARTHUR MUNIZ,AV. CONS. AGUIAR X RUA ARTHUR MUNIZ,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,ANTENA REMOVIDA (CHEIO DE ÁGUA),,-8.104310,-34.888228,"-8.104310,-34.888228",SIM,1191.A0.010000004792,,,,,,1,,3,,,5,,,,,3,,1,,4.006.852.128,62.099.119,10/11/1980
006,006,s05336.dyndns.org,,,AV. CONS. AGUIAR,RUA ANTÔNIO FALCÃO,AV. CONS. AGUIAR X RUA ANTÔNIO FALCÃO,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.116171,-34.894686,"-8.116171,-34.894686",SIM,"1191.A0.010000004807
",,,,,,1,,2,,,3,,,,,2,,1,,4.006.854.929,62.099.062,10/11/1981
007,007,s04956.dyndns.org,,,AV. MAL. MASCARENHAS DE MORAIS,RUA JAMAICA,AV. MAL. MASCARENHAS DE MORAIS X RUA JAMAICA,IMBIRIBEIRA,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.107620,-34.911720,"-8.107620,-34.911720",SIM,,,,,,,1,2,2,,,8,,,,,5,,,,4.006.912.180,3.182.150.974,16/02/1988
008,008,s05566.dyndns.org,,,AV. CAXANGÁ,RUA DO BOM PASTOR,AV. CAXANGÁ X RUA DO BOM PASTOR,IPUTINGA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.040820,-34.938494,"-8.040820,-34.938494",NÃO,,,,,,,,2,2,,,6,,,,,,,,,4.007.480.291,71.115.194,27/06/1977
009 / 343,009,s05683.dyndns.org,,,AV. CRUZ CABUGÁ,EST.BRT CASA DE MISERICÓRDIA,AV. CRUZ CABUGÁ X EST.BRT CASA DE MISERICÓRDIA,SANTO AMARO,COMPARTILHADO,SERTTEL,2,,,-8.043829,-34.874382,"-8.043829,-34.874382",NÃO,,,,,,,1,,3,,,7,,,4,,3,,,,4.011.843.927,,24/11/2014
010,010,s05403.dyndns.org,,,RUA JOÃO TUDE DE MELO,AV. PARNAMIRIM,RUA JOÃO TUDE DE MELO X AV. PARNAMIRIM,PARNAMIRIM,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.034731,-34.908303,"-8.034731,-34.908303",SIM,,,,,,,1,,4,,,7,,,,,,1,,,4.005.795.473,3.202.282.139,24/04/1982
011,011,s05331.dyndns.org,,,RUA CONSELHEIRO PORTELA,RUA 48,RUA CONSELHEIRO PORTELA X RUA 48,ESPINHEIRO,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.041458,-34.893810,"-8.041458,-34.893810",SIM,,,,,,,1,,2,,,4,,,,,2,,,,4.008.590.449,3.010.029.646,25/07/1988
012 / 467,012,s05262.dyndns.org,,,RUA BARÃO DA VITÓRIA,RUA FLORIANO PEIXOTO,RUA BARÃO DA VITÓRIA X RUA FLORIANO PEIXOTO,SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.067321,-34.882931,"-8.067321,-34.882931",NÃO,,,,,,,2,,2,,,4,,4,,,,,,,4.005.637.606,61.256.458,27/06/1977
013,013,s05487.dyndns.org,,,RUA DO SOL,RUA NOVA,RUA DO SOL X RUA NOVA,SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.063874,-34.880922,"-8.063874,-34.880922",NÃO,,,,06:00/20:00h,,,2,,2,,,4,,4,,,,,,,4.005.617.052,61.256.857,13/11/1979
014,014,s05356.dyndns.org,,,RUA DO SOL,AV. GUARARAPES,RUA DO SOL X AV. GUARARAPES,SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.062706,-34.880416,"-8.062706,-34.880416",NÃO,,,,,,,2,1,2,,,7,,4,,,4,,,,4.005.611.674,61.256.920,20/06/1980
015,015,s05690.dyndns.org,,,AV. DANTAS BARRETO,AV. GUARARAPES,AV. DANTAS BARRETO X AV. GUARARAPES,SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.063788,-34.878518,"-8.063788,-34.878518",NÃO,,,,,,,1,,3,,,4,,2,,,1,2,,,7.024.324.707,3.161.654.433,17/06/1980
016,016,s05260.dyndns.org,,,AV. RECIFE,RUA SÃO NICOLAU,AV. RECIFE X RUA SÃO NICOLAU,VILA DO IPSEP,GIT-SM 6 FASES,SINALVIDA,7,,,-8.106969,-34.927227,"-8.106969,-34.927227",NÃO,,,,,,,,1,3,,,6,,,,,2,2,,,4.008.147.235,3.200.398.733,27/10/1998
